"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2015,"34005",Burlington,"2nd Quintile",59487,-6586,-0.100,0.201
2015,"34005",Burlington,"1st Quintile",24303,-4478,-0.156,0.257
2014,"34005",Burlington,Top 5 Percent,498804,85105,0.206,-0.073
2014,"34005",Burlington,All,104534,1075,0.010,0.123
2014,"34005",Burlington,"5th Quintile",301840,35422,0.133,0.000
2014,"34005",Burlington,"4th Quintile",154610,7105,0.048,0.085
2014,"34005",Burlington,"3rd Quintile",104554,2128,0.021,0.112
2014,"34005",Burlington,"2nd Quintile",62766,-3307,-0.050,0.183
2014,"34005",Burlington,"1st Quintile",24987,-3794,-0.132,0.265
2013,"34005",Burlington,Top 5 Percent,465249,51550,0.125,-0.042
2013,"34005",Burlington,All,101681,-1778,-0.017,0.100
2013,"34005",Burlington,"5th Quintile",288453,22035,0.083,0.000
2013,"34005",Burlington,"4th Quintile",147908,403,0.003,0.080
2013,"34005",Burlington,"3rd Quintile",101862,-564,-0.006,0.089
2013,"34005",Burlington,"2nd Quintile",67936,1863,0.028,0.055
2013,"34005",Burlington,"1st Quintile",28757,-24,-0.001,0.084
2012,"34005",Burlington,Top 5 Percent,527791,114092,0.276,-0.131
2012,"34005",Burlington,All,99613,-3846,-0.037,0.182
2012,"34005",Burlington,"5th Quintile",305165,38747,0.145,0.000
2012,"34005",Burlington,"4th Quintile",146802,-703,-0.005,0.150
2012,"34005",Burlington,"3rd Quintile",99315,-3111,-0.030,0.175
2012,"34005",Burlington,"2nd Quintile",62111,-3962,-0.060,0.205
2012,"34005",Burlington,"1st Quintile",25551,-3230,-0.112,0.257
2023,"34005",Burlington,Top 5 Percent,507144,93445,0.226,-0.077
2023,"34005",Burlington,All,102532,-927,-0.009,0.158
2023,"34005",Burlington,"5th Quintile",306194,39776,0.149,0.000
2023,"34005",Burlington,"4th Quintile",153233,5728,0.039,0.110
2023,"34005",Burlington,"3rd Quintile",102219,-207,-0.002,0.151
2023,"34005",Burlington,"2nd Quintile",65632,-441,-0.007,0.156
2023,"34005",Burlington,"1st Quintile",26151,-2630,-0.091,0.240
2022,"34005",Burlington,Top 5 Percent,559928,146229,0.353,-0.130
2022,"34005",Burlington,All,104623,1164,0.011,0.212
2022,"34005",Burlington,"5th Quintile",325952,59534,0.223,0.000
2022,"34005",Burlington,"4th Quintile",156366,8861,0.060,0.163
2022,"34005",Burlington,"3rd Quintile",103961,1535,0.015,0.208
2022,"34005",Burlington,"2nd Quintile",65230,-843,-0.013,0.236
2022,"34005",Burlington,"1st Quintile",26120,-2661,-0.092,0.315
2021,"34005",Burlington,Top 5 Percent,524862,111163,0.269,-0.081
2021,"34005",Burlington,All,106244,2785,0.027,0.161
2021,"34005",Burlington,"5th Quintile",316394,49976,0.188,0.000
2021,"34005",Burlington,"4th Quintile",160660,13155,0.089,0.099
2021,"34005",Burlington,"3rd Quintile",106858,4432,0.043,0.145
2021,"34005",Burlington,"2nd Quintile",66595,522,0.008,0.180
2021,"34005",Burlington,"1st Quintile",24890,-3891,-0.135,0.323
2019,"34005",Burlington,Top 5 Percent,549440,135741,0.328,-0.114
2019,"34005",Burlington,All,106164,2705,0.026,0.188
2019,"34005",Burlington,"5th Quintile",323366,56948,0.214,0.000
2019,"34005",Burlington,"4th Quintile",158702,11197,0.076,0.138
2019,"34005",Burlington,"3rd Quintile",106354,3928,0.038,0.176
2019,"34005",Burlington,"2nd Quintile",69288,3215,0.049,0.165
2019,"34005",Burlington,"1st Quintile",29395,614,0.021,0.193
2018,"34005",Burlington,Top 5 Percent,602107,188408,0.455,-0.199
2018,"34005",Burlington,All,103334,-125,-0.001,0.257
2018,"34005",Burlington,"5th Quintile",334666,68248,0.256,0.000
2018,"34005",Burlington,"4th Quintile",155018,7513,0.051,0.205
2018,"34005",Burlington,"3rd Quintile",103236,810,0.008,0.248
2018,"34005",Burlington,"2nd Quintile",65767,-306,-0.005,0.261
2018,"34005",Burlington,"1st Quintile",27587,-1194,-0.041,0.297
2011,"34007",Camden,Top 5 Percent,397688,-27520,-0.065,0.007
2011,"34007",Camden,All,78674,-7802,-0.090,0.032
2011,"34007",Camden,"5th Quintile",243367,-15015,-0.058,0.000
2011,"34007",Camden,"4th Quintile",124911,-4763,-0.037,-0.021
2011,"34007",Camden,"3rd Quintile",79515,-7481,-0.086,0.028
2011,"34007",Camden,"2nd Quintile",46586,-6602,-0.124,0.066
2011,"34007",Camden,"1st Quintile",16376,-3454,-0.174,0.116
2010,"34007",Camden,Top 5 Percent,426048,840,0.002,-0.025
2010,"34007",Camden,All,80576,-5900,-0.068,0.045
