X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8365637.803,4871616.943,4588,2615913W,Bus,26,Westbound,15913,Olney Av & Ogontz Av,40.039039,-75.149803,Fall 2023,101,228,9,11,7,9
-8364932.817,4858680.235,4589,3331041N,Bus,33,Northbound,31041,Market St & 2nd St - 2,39.950008,-75.14347,Fall 2023,118,2,77,0,77,8
-8366656.043,4872034.106,4590,2615918W,Bus,26,Westbound,15918,Olney Av & Penn Blvd - FS,40.041908,-75.15895,Fall 2023,21,79,9,34,8,32
-8365157.014,4858707.971,4591,3330079N,Bus,33,Northbound,30079,Market St & 3rd St,39.950199,-75.145484,Fall 2023,183,1,100,5,79,0
-8364116.622,4871351.882,4592,2616965W,Bus,26,Westbound,16965,Olney Av & Wagner Av,40.037216,-75.136138,Fall 2023,2,3,1,0,1,0
-8365335.459,4858737.304,4593,3310311N,Bus,33,Northbound,10311,Market St & 4th St,39.950401,-75.147087,Fall 2023,135,2,56,2,52,0
-8362196.361,4871353.481,4594,2627715W,Bus,26,Westbound,27715,Olney Square - 1 Conway,40.037227,-75.118888,Fall 2023,44,0,29,0,17,0
-8365515.463,4858767.217,4595,333582N,Bus,33,Northbound,3582,Market St & 5th St,39.950607,-75.148704,Fall 2023,79,5,52,1,36,2
-8362041.85,4871498.297,4596,2630998W,Bus,26,Westbound,30998,Olney Square - 2 DollarTree,40.038223,-75.1175,Fall 2023,25,0,9,0,8,0
-8365686.227,4858796.55,4597,33359N,Bus,33,Northbound,359,Market St & 6th St,39.950809,-75.150238,Fall 2023,89,23,32,2,26,5
-8362249.015,4871516.036,4598,2630999W,Bus,26,Westbound,30999,Olney Square - 3 ShopRite,40.038345,-75.119361,Fall 2023,128,4,72,2,51,3
-8366034.435,4858851.876,4599,3310338N,Bus,33,Northbound,10338,Market St & 8th St,39.95119,-75.153366,Fall 2023,366,72,181,30,119,27
-8362328.052,4871401.753,4600,2632094W,Bus,26,Westbound,32094,Olney Square - 4 Post Office,40.037559,-75.120071,Fall 2023,12,1,8,0,4,1
-8366211.878,4858880.193,4601,3310341N,Bus,33,Northbound,10341,Market St & 9th St,39.951385,-75.15496,Fall 2023,258,48,162,26,85,14
-8360862.197,4870768.859,4602,2615892W,Bus,26,Westbound,15892,Tabor Av & Adams Av,40.033206,-75.106903,Fall 2023,28,47,7,15,11,13
-8366390.212,4858907.348,4603,3310257N,Bus,33,Northbound,10257,Market St & 10th St,39.951572,-75.156562,Fall 2023,231,80,152,33,103,14
-8359578.906,4872314.163,4604,2615884W,Bus,26,Westbound,15884,Tabor Av & Benner St,40.043834,-75.095375,Fall 2023,10,7,2,3,2,0
